Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.25,17.375,17.1875,17.1875,11.54910659790039,13000
2000-01-03,17.4375,17.5,16.625,16.625,11.171133995056152,64600
2000-01-04,16.625,16.625,15.625,15.875,10.667174339294434,81900
2000-01-05,15.75,15.75,15.0,15.75,10.583179473876953,38100
2000-01-06,15.75,16.25,15.75,16.0,10.751171112060547,41200
2000-01-07,15.875,16.25,15.75,15.875,10.667174339294434,34700
2000-01-10,16.5,16.5,16.0,16.0,10.751171112060547,94200
2000-01-11,16.125,16.875,16.0,16.4375,11.045148849487305,39700
2000-01-12,16.5,17.125,16.5,17.125,11.507105827331543,25100
2000-01-13,17.25,17.5,16.875,16.9375,11.381118774414062,62000
2000-01-14,17.0,17.75,16.875,17.5,11.759087562561035,183100
2000-01-18,17.75,18.25,17.75,18.0,12.095065116882324,77300
2000-01-19,18.0,18.375,17.9375,18.25,12.26305103302002,34500
2000-01-20,18.25,18.25,17.375,17.5,11.759087562561035,42200
2000-01-21,17.4375,17.5,17.25,17.375,11.67509651184082,16000
2000-01-24,17.5,17.5,17.0,17.125,11.507105827331543,10700
2000-01-25,17.125,17.5,17.0625,17.25,11.591105461120605,19200
2000-01-26,17.25,17.5,17.25,17.4375,11.71709156036377,16600
2000-01-27,17.4375,18.0,17.4375,17.5,11.759087562561035,33600
2000-01-28,17.625,17.625,17.3125,17.375,11.67509651184082,3900
2000-01-31,17.125,17.5,17.125,17.5,11.759087562561035,53900
2000-02-01,17.375,17.75,17.375,17.75,11.927078247070312,15400
2000-02-02,18.0,18.125,17.875,17.9375,12.053069114685059,92700
2000-02-03,18.0625,18.125,17.9375,18.0,12.095065116882324,35200
2000-02-04,18.125,18.5625,18.125,18.4375,12.3890380859375,51500
2000-02-07,18.4375,18.5625,18.375,18.5,12.43104076385498,25200
2000-02-08,18.5,18.875,18.5,18.5625,12.473031044006348,45300
2000-02-09,18.75,18.75,18.375,18.375,12.347047805786133,9100
2000-02-10,18.5,18.5,17.875,17.875,12.01107406616211,9700
2000-02-11,17.875,18.0,17.875,17.9375,12.053069114685059,24700
2000-02-14,18.0625,18.0625,17.875,18.0,12.095065116882324,7100
2000-02-15,17.875,18.0,17.875,17.875,12.01107406616211,4900
2000-02-16,17.875,18.5,17.875,18.5,12.43104076385498,69000
2000-02-17,18.5,18.6875,18.3125,18.375,12.347047805786133,28100
2000-02-18,18.375,18.5625,18.375,18.5,12.43104076385498,5000
2000-02-22,18.625,18.8125,18.5625,18.5625,12.473031044006348,10700
2000-02-23,18.5625,18.9375,18.5625,18.8125,12.641020774841309,5700
