Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,38.8125,38.8125,38.1875,38.6875,21.16639518737793,199200
2000-01-03,39.625,39.625,36.9375,37.25,20.379915237426758,982600
2000-01-04,37.0,37.3125,35.6875,35.875,19.62764549255371,1007000
2000-01-05,35.8125,37.0,35.125,35.5625,19.579463958740234,1016800
2000-01-06,35.125,36.5,35.0625,36.3125,19.992401123046875,743500
2000-01-07,36.625,37.1875,36.375,37.0,20.370906829833984,526700
2000-01-10,36.75,37.5,35.5625,35.8125,19.71710777282715,562600
2000-01-11,35.625,37.0,35.625,36.1875,19.923580169677734,902500
2000-01-12,36.1875,36.625,35.3125,35.75,19.682695388793945,693800
2000-01-13,35.9375,36.9375,35.875,36.375,20.02680015563965,709300
2000-01-14,34.375,36.0,34.375,35.3125,19.441831588745117,801000
2000-01-18,33.5625,35.375,33.4375,35.125,19.338594436645508,861400
2000-01-19,33.625,34.4375,33.125,33.5,18.443925857543945,772600
2000-01-20,33.375,33.75,32.0625,32.1875,17.721309661865234,1178000
2000-01-21,32.3125,33.4375,32.0,33.0625,18.203054428100586,1127800
2000-01-24,32.875,33.1875,30.375,31.25,17.20516014099121,800400
2000-01-25,31.1875,31.625,30.0625,30.4375,16.757823944091797,771600
2000-01-26,30.75,31.75,30.5,31.0,17.067516326904297,718800
2000-01-27,31.5,31.5,29.9375,30.625,16.86105728149414,602200
2000-01-28,30.5,30.5625,29.25,29.5625,16.276084899902344,648600
2000-01-31,29.875,32.25,29.5625,31.4375,17.30838966369629,912400
2000-02-01,30.875,31.0625,29.125,29.4375,16.207260131835938,1091100
2000-02-02,28.75,29.125,28.25,28.8125,15.863154411315918,1250800
2000-02-03,28.8125,29.6875,28.6875,29.3125,16.138439178466797,927900
2000-02-04,29.0625,29.0625,27.75,28.1875,15.519049644470215,705600
2000-02-07,28.1875,28.25,27.5,27.8125,15.31258773803711,710200
2000-02-08,27.75,28.625,27.6875,28.375,15.622279167175293,582800
2000-02-09,28.3125,28.3125,27.625,27.6875,15.243768692016602,669400
2000-02-10,27.0,27.625,26.25,26.3125,14.486743927001953,1171500
2000-02-11,26.3125,26.4375,25.4375,25.8125,14.211461067199707,1239800
2000-02-14,25.8125,26.5,25.8125,25.9375,14.28028392791748,576000
2000-02-15,25.9375,27.5625,25.875,27.4375,15.106122970581055,887900
2000-02-16,29.5625,29.5625,27.0,27.4375,15.106122970581055,1484900
2000-02-17,27.25,29.5625,27.25,29.375,16.172847747802734,1227200
2000-02-18,29.3125,29.8125,28.875,29.25,16.104026794433594,1040500
2000-02-22,29.1875,29.9375,28.8125,29.5625,16.276084899902344,895300
2000-02-23,29.5625,29.5625,28.5,28.875,15.897573471069336,1198100
2000-02-24,28.0,28.0,27.3125,27.75,15.278179168701172,1303600
2000-02-25,27.8125,28.625,27.5,27.75,15.278179168701172,928500
2000-02-28,27.75,28.4375,27.625,28.25,15.553462982177734,544800
2000-02-29,28.0625,28.4375,27.8125,28.375,15.622279167175293,677300
2000-03-01,28.375,29.1875,28.375,28.9375,15.931974411010742,930400
2000-03-02,28.9375,29.125,28.4375,28.5625,15.725512504577637,903000
2000-03-03,28.4375,29.1875,28.3125,29.0,15.966394424438477,472100
2000-03-06,29.0,29.125,28.5625,29.0,15.966394424438477,673300
2000-03-07,28.625,28.625,27.1875,27.5625,15.17495346069336,1116100
2000-03-08,27.3125,30.4375,27.0625,30.3125,16.689001083374023,1090600
2000-03-09,29.5,30.3125,29.0625,30.1875,16.620187759399414,692100
2000-03-10,29.3125,29.375,27.875,28.9375,15.931974411010742,815300
2000-03-13,28.6875,28.6875,27.875,28.3125,15.587876319885254,639300
2000-03-14,28.0625,28.4375,27.875,28.0625,15.450231552124023,461900
2000-03-15,28.0,30.0,27.875,29.75,16.37930679321289,1107500
2000-03-16,29.9375,34.125,29.6875,34.0,18.719209671020508,1444000
2000-03-17,33.6875,33.75,31.875,31.875,17.54926109313965,1383000
2000-03-20,31.625,35.375,30.875,33.8125,18.615983963012695,1182300
2000-03-21,33.875,34.9375,30.4375,31.375,17.27398109436035,2726700
2000-03-22,30.25,30.5,29.0,29.6875,16.34489631652832,1206700
2000-03-23,29.5625,30.875,28.125,30.0625,16.55135726928711,1614800
2000-03-24,29.8125,31.0,29.5625,30.5,16.792232513427734,795100
2000-03-27,29.4375,29.9375,29.0625,29.1875,16.06962013244629,729700
2000-03-28,28.9375,29.75,28.9375,29.0,15.966394424438477,531300
2000-03-29,29.0625,30.0625,29.0,29.9375,16.4825382232666,611200
2000-03-30,30.1875,31.375,30.1875,31.125,17.136341094970703,725900
2000-03-31,31.125,31.125,30.1875,30.75,16.92987060546875,578900
2000-04-03,30.8125,30.9375,29.9375,30.6875,16.89546775817871,569100
2000-04-04,32.5,33.875,31.125,31.8125,17.514854431152344,1284600
2000-04-05,31.5625,32.4375,31.125,31.3125,17.362361907958984,782000
2000-04-06,31.0625,31.125,29.5625,30.125,16.703908920288086,720000
2000-04-07,29.8125,29.875,28.0625,28.125,15.594937324523926,1612800
2000-04-10,28.125,29.0,27.5625,29.0,16.080116271972656,998000
2000-04-11,28.6875,28.75,28.125,28.5625,15.837522506713867,781600
2000-04-12,28.5625,30.375,28.5625,29.5,16.357357025146484,967400
2000-04-13,29.75,31.625,29.6875,30.9375,17.154428482055664,1435100
2000-04-14,29.875,30.9375,29.1875,29.25,16.218740463256836,728700
2000-04-17,29.5,30.25,29.0,30.0,16.634597778320312,629600
2000-04-18,27.5,29.125,27.125,28.375,15.733558654785156,1437500
2000-04-19,28.0,28.3125,27.75,28.0625,15.560285568237305,777800
2000-04-20,28.0,28.25,27.75,28.0625,15.560285568237305,565300
2000-04-24,28.0625,28.5,27.5,28.125,15.594937324523926,597300
2000-04-25,28.1875,29.4375,27.25,29.0,16.080116271972656,601700
2000-04-26,29.0,29.25,27.0625,27.4375,15.213724136352539,1220200
2000-04-27,27.1875,27.1875,26.1875,26.6875,14.79786491394043,1376100
2000-04-28,26.6875,26.6875,25.625,26.0,14.416657447814941,1021100
2000-05-01,25.5,26.5,25.4375,26.0625,14.45130729675293,1194300
2000-05-02,26.0625,26.75,26.0,26.5,14.693893432617188,649200
2000-05-03,28.625,30.5,27.8125,29.5625,16.392011642456055,2342500
2000-05-04,28.0,29.4375,27.25,28.5625,15.837522506713867,1158800
2000-05-05,29.3125,29.5,28.25,28.375,15.733558654785156,503800
2000-05-08,29.1875,29.875,28.8125,29.5,16.357357025146484,689300
2000-05-09,28.875,29.1875,28.5,29.0625,16.11477279663086,376900
2000-05-10,28.9375,29.1875,28.625,28.75,15.94149112701416,486000
2000-05-11,29.0,29.625,28.875,29.25,16.218740463256836,356700
2000-05-12,29.0,29.3125,28.5,29.125,16.149425506591797,443100
2000-05-15,29.25,30.3125,29.0,29.875,16.565288543701172,671400
2000-05-16,30.9375,30.9375,29.9375,30.4375,16.877185821533203,789200
2000-05-17,29.0,30.25,28.25,29.25,16.218740463256836,1598500
2000-05-18,28.4375,29.125,28.375,28.5,15.802871704101562,699700
2000-05-19,28.375,28.6875,28.0,28.1875,15.629590034484863,661700
2000-05-22,28.3125,28.6875,28.0625,28.4375,15.768214225769043,408800
2000-05-23,28.5,28.625,27.9375,28.4375,15.768214225769043,585400
2000-05-24,28.4375,31.75,28.4375,31.625,17.5356502532959,2106100
2000-05-25,31.0,31.0625,30.375,31.0,17.1890926361084,1430800
2000-05-26,31.0625,31.9375,30.5,31.6875,17.570295333862305,909200
2000-05-30,31.375,32.1875,30.75,31.75,17.604951858520508,789500
2000-05-31,31.0,31.5,29.875,31.0,17.1890926361084,545400
2000-06-01,30.75,31.0,30.0,30.125,16.703908920288086,584700
2000-06-02,30.125,30.3125,29.5625,29.9375,16.599952697753906,481900
2000-06-05,31.625,33.3125,30.8125,31.125,17.258405685424805,1719800
2000-06-06,31.0,31.0,28.8125,29.5625,16.392011642456055,1723900
2000-06-07,29.5625,32.0,29.4375,31.625,17.5356502532959,1506400
2000-06-08,31.0,31.6875,30.5625,31.5625,17.5009822845459,814900
2000-06-09,31.5,31.6875,30.75,31.0625,17.223737716674805,628800
2000-06-12,31.0625,31.125,30.375,30.5625,16.946496963500977,482300
2000-06-13,31.0,31.4375,30.8125,31.0625,17.223737716674805,449800
2000-06-14,31.0,31.3125,30.75,31.25,17.32771110534668,294500
2000-06-15,31.125,31.625,30.9375,30.9375,17.154428482055664,567500
2000-06-16,30.0625,31.4375,30.0625,30.5625,16.946496963500977,1044700
2000-06-19,30.5625,30.875,29.875,29.875,16.565288543701172,438400
2000-06-20,29.875,30.625,29.625,30.375,16.842531204223633,600200
2000-06-21,30.5,30.5625,29.5,29.8125,16.530635833740234,373400
2000-06-22,29.5,29.8125,29.375,29.5,16.357357025146484,562200
2000-06-23,29.5,30.0625,29.5,30.0,16.634597778320312,521600
2000-06-26,30.25,31.1875,30.0,30.5625,16.946496963500977,374800
2000-06-27,31.0,31.1875,30.0625,30.25,16.773225784301758,480800
2000-06-28,30.4375,31.0,29.5625,30.09375,16.68657875061035,551300
2000-06-29,29.625,30.1875,29.0625,29.1875,16.184085845947266,387400
2000-06-30,28.0,29.4375,27.75,29.125,16.149425506591797,904300
2000-07-03,28.875,29.25,28.5,29.125,16.149425506591797,196200
2000-07-05,29.5,29.6875,28.625,28.75,16.06560707092285,433900
2000-07-06,28.875,29.0625,28.5,28.875,16.13546371459961,434700
2000-07-07,28.25,28.6875,28.0,28.1875,15.751273155212402,381300
2000-07-10,27.9375,28.1875,27.375,28.0,15.64649486541748,520000
2000-07-11,27.75,27.75,27.1875,27.6875,15.47187614440918,328300
2000-07-12,27.6875,27.75,27.125,27.5,15.367101669311523,326100
2000-07-13,27.4375,28.0625,27.375,27.875,15.576659202575684,451400
2000-07-14,27.6875,28.375,27.625,27.875,15.576659202575684,374000
2000-07-17,27.625,27.75,27.0,27.25,15.227399826049805,353400
2000-07-18,27.0625,27.75,27.0625,27.5625,15.402022361755371,299800
2000-07-19,27.5,28.3125,27.25,28.1875,15.751273155212402,430200
2000-07-20,28.4375,28.6875,28.125,28.25,15.786200523376465,440200
2000-07-21,28.375,28.625,27.375,27.5625,15.402022361755371,441700
2000-07-24,27.5625,28.25,27.0625,28.1875,15.751273155212402,884800
2000-07-25,28.125,29.0,28.125,28.5625,15.960823059082031,689800
2000-07-26,28.375,28.375,27.0,27.0,15.087701797485352,899300
2000-07-27,27.1875,27.4375,26.125,26.375,14.738441467285156,735200
2000-07-28,26.375,26.5,26.0625,26.4375,14.7733736038208,450500
2000-07-31,26.625,27.125,26.5,26.5,14.808296203613281,721700
2000-08-01,26.9375,27.0,26.3125,26.5,14.808296203613281,438100
2000-08-02,26.6875,27.125,26.375,26.6875,14.913064002990723,479800
2000-08-03,26.9375,27.0625,26.5,26.6875,14.913064002990723,384100
2000-08-04,26.5625,27.0,26.125,26.6875,14.913064002990723,337600
2000-08-07,26.5,26.625,26.0625,26.25,14.668591499328613,286200
2000-08-08,26.25,26.3125,26.0,26.25,14.668591499328613,345700
2000-08-09,26.0,26.125,25.4375,25.6875,14.354264259338379,818900
2000-08-10,25.875,26.3125,25.8125,26.0,14.528898239135742,403400
2000-08-11,26.1875,26.9375,26.125,26.75,14.94800090789795,396900
2000-08-14,26.5,26.8125,26.25,26.4375,14.7733736038208,320600
2000-08-15,26.75,27.25,26.375,26.5,14.808296203613281,465700
2000-08-16,26.625,26.8125,26.1875,26.375,14.738441467285156,287100
2000-08-17,26.625,26.625,25.9375,26.125,14.598748207092285,260200
2000-08-18,26.125,26.3125,25.9375,26.0625,14.56381893157959,321200
2000-08-21,25.9375,26.875,25.8125,26.625,14.878149032592773,315300
2000-08-22,26.625,26.625,26.0,26.125,14.598748207092285,224200
2000-08-23,26.0,26.4375,26.0,26.375,14.738441467285156,214400
2000-08-24,26.1875,26.875,26.125,26.5625,14.843228340148926,368700
2000-08-25,26.875,26.875,25.9375,26.0625,14.56381893157959,301900
2000-08-28,26.0625,26.4375,25.75,25.75,14.38919448852539,387800
2000-08-29,25.625,25.9375,25.5625,25.5625,14.284419059753418,303200
2000-08-30,24.875,25.5,24.875,25.0625,14.00501537322998,511400
2000-08-31,25.875,25.875,25.25,25.375,14.179637908935547,469200
2000-09-01,25.3125,25.3125,25.0,25.125,14.039939880371094,269700
2000-09-05,25.125,25.25,24.625,24.75,13.830395698547363,644400
2000-09-06,25.0,25.125,24.5625,24.875,13.900239944458008,360800
2000-09-07,23.75,25.4375,23.75,25.125,14.039939880371094,649200
2000-09-08,24.875,26.6875,24.5625,26.625,14.878149032592773,1262800
2000-09-11,26.375,26.5,25.6875,26.0625,14.56381893157959,720200
2000-09-12,25.75,26.125,25.625,25.9375,14.493966102600098,630500
2000-09-13,26.0625,26.0625,25.1875,25.625,14.319342613220215,709200
2000-09-14,25.3125,25.375,24.8125,25.25,14.109786033630371,731300
2000-09-15,25.125,25.6875,25.0,25.125,14.039939880371094,803500
2000-09-18,25.0,25.1875,24.75,25.0,13.970088005065918,560400
2000-09-19,25.0,25.125,24.4375,24.6875,13.795465469360352,662900
2000-09-20,24.875,25.0,24.3125,24.75,13.830395698547363,346500
2000-09-21,24.5625,25.4375,24.5,25.375,14.179637908935547,452800
2000-09-22,25.4375,26.0625,25.25,25.5,14.249492645263672,409700
2000-09-25,25.375,25.625,25.125,25.25,14.109786033630371,394600
2000-09-26,25.125,25.5,25.0,25.1875,14.074861526489258,350600
2000-09-27,24.9375,25.625,24.8125,25.375,14.179637908935547,373500
2000-09-28,25.4375,26.5,25.3125,26.125,14.598748207092285,592200
2000-09-29,26.1875,26.625,25.625,25.875,14.459041595458984,428500
2000-10-02,25.875,25.875,25.0625,25.5625,14.284419059753418,380700
2000-10-03,25.375,25.75,25.125,25.625,14.319342613220215,365200
2000-10-04,25.375,26.125,25.25,25.5,14.37572193145752,538400
2000-10-05,25.5,26.625,25.375,26.5,14.939470291137695,551100
2000-10-06,26.6875,26.8125,25.625,25.875,14.587124824523926,565400
2000-10-09,25.875,26.125,25.75,26.0,14.657593727111816,417500
2000-10-10,26.1875,26.625,25.8125,26.5,14.939470291137695,581300
2000-10-11,26.6875,26.9375,26.0625,26.4375,14.904237747192383,451400
2000-10-12,26.25,26.5,25.75,25.9375,14.622361183166504,448500
2000-10-13,26.0625,26.125,25.5,25.625,14.446187973022461,342600
2000-10-16,25.6875,27.4375,25.6875,27.3125,15.397520065307617,829200
2000-10-17,27.25,27.25,26.5,26.625,15.009944915771484,434000
2000-10-18,26.5625,27.0,25.6875,26.4375,14.904237747192383,363000
2000-10-19,25.875,26.8125,25.5625,26.6875,15.045169830322266,546700
2000-10-20,26.75,26.875,25.9375,26.625,15.009944915771484,459100
2000-10-23,26.625,27.0,26.5625,26.75,15.08041000366211,359700
2000-10-24,26.75,27.125,26.75,27.125,15.29181957244873,600700
2000-10-25,27.4375,28.0,27.25,28.0,15.785097122192383,657100
2000-10-26,28.0,28.625,27.6875,28.625,16.137441635131836,829700
2000-10-27,28.4375,28.8125,28.125,28.8125,16.243154525756836,440800
2000-10-30,28.9375,29.5625,28.6875,29.375,16.56026840209961,715000
2000-10-31,29.375,29.5625,28.1875,29.25,16.489803314208984,820900
2000-11-01,29.0,29.8125,29.0,29.625,16.701208114624023,511400
2000-11-02,29.5625,29.9375,29.25,29.625,16.701208114624023,798800
2000-11-03,29.625,29.8125,29.125,29.375,16.56026840209961,609200
2000-11-06,29.75,30.9375,29.5625,30.375,17.124011993408203,802400
2000-11-07,30.6875,31.0,30.3125,30.6875,17.300193786621094,715700
2000-11-08,30.625,31.0625,30.3125,30.9375,17.441125869750977,394700
2000-11-09,31.1875,31.71875,31.0625,31.625,17.828712463378906,749200
2000-11-10,31.5625,32.0,31.125,31.5,17.75823974609375,887500
2000-11-13,31.625,31.875,30.375,30.5625,17.229721069335938,812300
2000-11-14,30.0,30.25,29.6875,29.8125,16.80690574645996,908600
2000-11-15,30.125,30.9375,29.9375,30.75,17.335430145263672,1384400
2000-11-16,30.375,32.25,30.375,32.0625,18.07535743713379,890500
2000-11-17,32.75,33.1875,32.3125,32.6875,18.427698135375977,1710200
2000-11-20,32.8125,33.625,32.5625,32.625,18.392459869384766,1114400
2000-11-21,32.75,33.4375,32.5,33.375,18.81528091430664,621900
2000-11-22,33.9375,34.625,33.25,33.375,18.81528091430664,741800
2000-11-24,33.375,33.375,32.5625,32.9375,18.568639755249023,190100
2000-11-27,32.6875,33.0625,32.4375,32.5625,18.357223510742188,815600
2000-11-28,32.8125,33.125,32.625,33.0,18.60387420654297,490800
2000-11-29,33.0,34.0,32.9375,33.4375,18.850515365600586,713300
2000-11-30,33.1875,33.9375,33.1875,33.375,18.81528091430664,863300
2000-12-01,32.75,33.0,32.3125,32.8125,18.4981689453125,895200
2000-12-04,33.0,33.6875,32.8125,33.5,18.885744094848633,480100
2000-12-05,33.25,33.375,31.9375,32.125,18.110584259033203,752600
2000-12-06,31.625,31.9375,31.0625,31.8125,17.934415817260742,715700
2000-12-07,32.125,32.875,32.0,32.4375,18.28676414489746,410300
2000-12-08,32.4375,32.4375,31.5625,32.0,18.04012680053711,462300
2000-12-11,32.25,32.25,30.6875,30.875,17.405895233154297,724300
2000-12-12,30.875,31.3125,30.6875,31.0625,17.5115966796875,359100
2000-12-13,30.875,31.75,30.875,31.25,17.61730194091797,380600
